timestamp,load,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,net_load,price
2024-03-24 07:00:00-05:00,38361.083333333336,2977.783333333334,41.949999999999996,3740.4,260.44166666666666,71.85000000000001,25053.991666666665,6519.416666666667,0.0,13235.241666666667,6.43
2024-03-24 08:00:00-05:00,39770.25,3132.4083333333333,41.99166666666666,3739.2250000000004,127.56666666666666,1291.0666666666668,25377.233333333334,6288.124999999999,0.0,13101.949999999997,3.96
2024-03-24 09:00:00-05:00,41111.0,3192.9666666666667,41.916666666666664,3740.566666666667,105.61666666666667,2863.941666666667,25739.75833333333,5564.833333333333,0.0,12507.300000000001,3.19
2024-03-24 10:00:00-05:00,41974.083333333336,3227.683333333334,38.483333333333334,3740.4416666666675,142.79999999999998,3665.3166666666675,25676.108333333334,5657.874999999999,0.0,12632.658333333333,1.77
2024-03-24 11:00:00-05:00,42596.75,3232.116666666667,0.0,3738.85,136.49166666666665,4520.308333333333,25709.316666666666,5517.450000000001,0.0,12367.125,1.95
2024-03-24 12:00:00-05:00,43341.583333333336,3213.9583333333335,0.0,3739.5,29.666666666666668,5389.099999999999,25842.38333333333,5414.425000000001,0.0,12110.1,1.42
2024-03-24 13:00:00-05:00,43403.333333333336,3052.7250000000004,0.0,3746.9166666666665,52.300000000000004,5900.100000000001,25685.766666666666,5213.316666666667,0.0,11817.466666666667,1.06
2024-03-24 14:00:00-05:00,43691.25,2913.891666666667,0.0,3747.2416666666672,190.74166666666667,5727.616666666668,25623.558333333334,5733.266666666666,0.0,12340.074999999999,2.31
2024-03-24 15:00:00-05:00,44079.75,3135.066666666667,41.875,3746.6749999999993,53.36666666666667,6145.600000000001,24825.274999999998,6543.516666666667,0.0,13108.875000000002,2.84
2024-03-24 16:00:00-05:00,44416.083333333336,3372.191666666667,41.99166666666666,3748.091666666667,162.475,5478.308333333333,24149.608333333334,7874.649999999999,0.0,14788.166666666666,2.34
2024-03-24 17:00:00-05:00,44739.0,3532.275,42.01666666666666,3748.9666666666676,144.07500000000002,4815.791666666666,23688.274999999998,9168.308333333332,0.0,16234.933333333334,4.96
2024-03-24 18:00:00-05:00,45120.75,3825.5749999999994,50.275,3749.6916666666657,160.50000000000003,2644.8333333333335,24558.475000000002,10603.675000000001,0.0,17917.44166666667,8.79
2024-03-24 19:00:00-05:00,45618.0,4451.308333333333,155.46666666666667,3749.1749999999997,470.62499999999994,505.85833333333335,24780.525000000005,11872.608333333337,0.0,20331.616666666672,21.3
2024-03-24 20:00:00-05:00,46509.083333333336,5707.941666666667,130.375,3749.3250000000003,725.875,0.7333333333333333,23843.324999999997,12637.341666666665,0.0,22665.024999999998,28.16
2024-03-24 21:00:00-05:00,45634.166666666664,6754.083333333333,42.475,3749.883333333333,544.7416666666667,0.7416666666666667,21928.250000000004,12733.991666666667,0.0,23705.175,22.39
2024-03-24 22:00:00-05:00,43524.333333333336,5615.55,41.875,3751.2333333333336,96.30833333333334,0.6833333333333335,21912.416666666668,12322.741666666669,0.0,21611.233333333334,15.99
2024-03-24 23:00:00-05:00,41238.583333333336,4482.258333333333,41.96666666666666,3751.5499999999993,67.02499999999999,0.6833333333333335,22080.79166666667,11129.958333333334,0.0,19157.108333333334,13.9
